id,text,IPA
1562,Солнечный лучик,s ɑ l n e tʃ i n i l o t ʃ ɯ k 
1563,Мощный двигатель,ʃ e n i d ə v i k a t i l 
1564,Плохие дни учат нас ценить хорошие.,p l a x i e d e n i o l tʃ e t n aɪ s ts e n i t x ɑ k r ɔ ʃ e 
1565,Безналичная оплата возможна?,v i z i n a ʎ i tʃ n a aː p u l aː t a v ʌ z z ʌ n m ɔ v n n a 
1566,Белый снег блестит на солнце,b i l i s n e ɡ b ɪ l d e s t i p n a s o n ts e 
1567,Шелковистый платок на ветру,ʃ e l k a v i s t i f l a t o k n e v e t k r o 
1568,"Оптимизм не дает гарантий, но падение – маловероятно",ɔ p t i n i z ə m n e d a j o t ʊ n k a k r a n t i n ɔ p a n d e n e m a l a v e k r e t n a 
1569,Тонкий аромат чая,t a n k i a k t r a m a t tʃ e e 
1570,Дождь заливал улицы города,ʒ y t e z e l l e v a u l i ts e ɡ o k t r a n t a 
1571,Готовишь уже обед или нет?,ɡ a t o v i ʃ o ʒ e a n v i d i l i n i t 
1572,Громкий выстрел,ɡ o k r a m k iː v ø s k r iː l 
1573,Красивый бриз,k ʌ k r a s e v aɪ b ʌ k r i z 
1574,Сколько стоит билет на кино?,e s s k a l k a s t aɪ t b i l e t a n a k i n o 
1575,Загадочный уголок,e ɡ a d a tʃ n i u ɡ l o k 
1576,Он пошел за продуктами,o n p a ʃ a l z ɛ p k r d h o k t ə n m i 
1577,Приятный запах цветов в саду,r e a t n e z a p a x ts e v e t o f u v s a d o 
1578,Тонкий лист,t o n k e l i f t 
1579,Луна светила ярко в ночи,l o n a s e v e t i t a t k a v u n a i 
1580,Вывести собаку на прогулку,o r e v i s t i s a b a k o n a p k r a ŋ ɡ o k o 
1581,"Есть только одна жизнь, не тратьте ее зря!",e s t t a k a a n t o n a a n ʒ ø z d i n n e k r a t t e ɡ e ɡ a l v y k k r a 
1582,Отличное предложение! Я вас поддерживаю,a t e ʎ i t n aɪ p k r e d l a ʒ e n e i a v a s p a d t e k r ʒ e v a o 
1583,Свежий ветер,s ʌ n v e ʒ ʌ v t e k r 
1584,Какой фильм смотрим сегодня?,k a k ɔ f i l ɪ m s ʌ m ɔ k r i p s e v oː t i ɲ 
1585,Хорошее здоровье - наш главный капитал,a k r a ʃ e e z e n t a k r a v i e n a ʃ ɡ l a v ə n i k a t i t a l 
1586,Как добраться до аэропорта самостоятельно?,k a k d a v o k r a l ts e n d o ɑ o k r a v o t a e s e m e s t a e d i l n a 
1587,У меня запланированы дела до обеда,o m i n e l z a p o l a ɲ e k r a v a n i d e l a d o b i d a 
1588,Песня может поднять настроение,p j e θ n a m ɔ v e d p a d o n e t n e θ k r a e n i i 
1589,Тебе это и правда нужно?,t e m b e e t i p k r a v o d a n o ʒ u n a 
1590,Никогда не поздно стать лучшей версией самого себя.,i k a ɡ d a n e p o z ə n a s t a t n o t ʃ i ð e k s e s i m b i 
1591,Сложности — это возможность для роста.,s n l ɔ ʒ ʌ d n ɛ s t i ɛ t a v a z ə m ɔ ʒ ə n s t d y n l a k r ɔ s t a 
1592,"Никто не может изменить прошлое, надо жить настоящим и смотреть в будущее",n i k t o n e m o ʒ e t i z z ə m i n i t p k r o ʃ o l a e n a d a ʒ e t n e s t a ʃ i p i s m a k r i t ʌ v b o l d o r tʃ e e 
1593,Если хочешь чего-то достичь — просто начни!,ɡ e s i d e x o l tʃ o ʃ tʃ e v o t a d e s t e tʃ p k r o s t a n a tʃ ʃ e ɲ i 
1594,"Если нужна помощь, то обращайся ко мне",j e s e l y n o ʒ ɯ n a p o m a ʃ t o b u k r e a s i e k a m ə ɲ i 
1595,Стремительный поток,e s s k r i m i t i l n i p a t o k 
1596,Что думаетешь о новом фильме?,a ʃ t a d o m a j ʒ n a ʁ a p aː f i l m i 
1597,Этот номер уже используется.,ɛ t ɛ t n o m n i k r ʒ ə i s f o l ʒ oː ts a 
1598,Красный шарф на шее,k p r a ts ə n ɪ ʃ a t n a ʃ eː e 
1599,В какое время твой рейс из аэропорта?,v o k a k o e v o k r i n e t v oː k e z a k r a p o k t a 
1600,Бесшумный шаг,v i s f o m n i ʃ a ŋ k 
1601,Ваш любимый вид спорта?,v a ʃ l o m p i m l i v i d s p o k r t a 
1602,Круглая шляпа на голове,k r o ŋ ɡ o l a j e ʃ l e p a n a ŋ ɡ a l a v e 
1603,Ржавый гвоздь,k r ʌ z a v i k ʌ v o l d ə n 
1604,Прости меня пожалуйста,a n p o k r e ts i t e m e n a p a ʒ a l u s t a 
1605,Тихое утро,d i x a j e o k r a 
1606,Улыбайся каждый день,o n l ʌ b aɪ s e k a ʒ o d e n dʒ e n 
1607,Что-то не так c компьютером,s t o t a ɲ e t a k s s k a m p i uː t e k p r a 
1608,Роскошный бриллиант,k r e s k o ʃ ə n i b u k k r i l e a n t 
1609,Думайте об этом как о возможности роста и изучения нового.,d o m aɪ t i b e t a k a k o v a z e m o ʒ o n e s t i k r o s t a i i z o tʃ e n i a n o v o v o 
1610,Вкусный обед после тяжелой работы,f k o s s n e a n v e d p a s l e t e ʒ o l e k r a b o l t e 
1611,Только для взрослых!,t a l k a d l ɛ v ɨ ð k r ɔ θ l ʌ x x 
1612,"Хорошая погода, давай сходим на прогулку",x a k k r ɔ ʃ aɪ j a p ɔ ŋ ɡ o l d d ɛ v aɪ t f x ɔ n d e p n o p k r a ŋ k oː 
1613,Шум ветра усиливается ночью,f o m r i e k r a u n s i l i v aɪ j e ts ə n o l tʃ e o 
1614,У меня очень болят ноги после долгой прогулки.,m i n e ɑ tʃ i n b a l e t n ɑ ɡ i p ɑ s i l l e d ɑ l ɡ aɪ p k r a ɡ o l k i 
1615,Свежий бриз,s e l v e r v ɪ b o p r e z 
1616,Ты можешь перезвонить мне позже?,d e m ɔ l ɹ o ʃ f e k r i z e v a n i t m n e p o l z ʒ e 
1617,"Любовь – это сила, способная изменить мир",l o v o v e r t e s t i l a s p o s o v u n e i z m y n i t m i k r 
1618,Рисовать картины маслом,k r e s a v aɪ t k a k k r t e n m a s l a 
1619,Дружба превыше всего,d ə k r o ʒ o v a p k r e v y f e u f s e v o 
1620,Белый камень,n b i l ɨ k a l m i n 
1621,Твои новые штаны выглядят здорово!,t ʌ aɪ i n a v o j ʃ ʃ t a n i v ɪ ŋ k l e t e t e z n t o k k r a v a 
1622,Сегодня прогнозируется дождь,e t s e v o l d n e p p r a ɡ ə n a z y k r e t e n t o ʒ u n d 
1623,Кристальный град,k r i s t a l n i ɡ k r a d 
1624,Большой бассейн,ð a l f aɪ b ʌ s eː n 
1625,Сегодня закрыты?,s e v o l d y n e z a k k r e t e 
1626,Делай то что нравится и получается,dʒ e l aɪ t o ʃ t o n k ɡ r a v i ts a e p a l o e i ts a 
1627,Могучий водопад,m a ɡ o tʃ i v a t a p a n t 
1628,"Когда бы его ни позвали, он всегда отзывался на помощь другим.",q a ɡ d a b y l i v o n e p e z v a l ɪ o n u v s i ŋ ɡ d a a t e z e v a l s a n a p o m a l ʃ u ɡ r o ɡ i 
1629,Высокая гора,v ʌ ts o k a j e ɡ a k p l 
1630,Прекрасный цветок,k i k k r a s e d n i ts e v e t o k 
1631,Красивый закат на море,k k a s i v e z a k a t n a m m o k r i 
1632,Жизнь иногда сложная штука,l i ʒ e i i n a ŋ ɡ d a s i l o ʒ o n aɪ j t o l k a 
1633,Чистый и опрятный дом,i s t i i a p k r e t ə n i d o n 
1634,Останавливайся на светофорах!,aɪ θ t a n aː v i l i v aɪ s j a n e s ð e t a f o k r o x 
1635,Тебе нравится эта песня?,k e b e n n k r a v i ts a e t a p e t s n e 
1636,Прекрасный рассвет,k r i k k a s n ɪ k r e s v e t 
1637,Забудем об этом и начнем все заново?,ð a v oː d e m ɔ m b eː t i h m e t n y m f ts oː z a n v a 
1638,Тонкий слой,t a n ɡ e f s l oɪ x 
1639,Удачный стул,o d ɑ y n i s t o 
1640,"Один раз, я почти поднял по инцидентальной кнопке",a l d i m k r a z e f ɛ t s t i p ə n t ə n eː t p o ɪ n ts e n d e n t a l n aɪ k ə n o p k 
1641,Радужный мост,p r a d o ʒ e n i m o f t 
1642,"Не надо злиться, все будет хорошо!",n e n a n d e z e l l i ts e o f s e v o l d e t x a k r a ʃ ʃ x o 
1643,Любовь всегда находит путь,v ɔ l f ɪ v s e ŋ ɡ ə d a n a x ɔ d ɪ t p oː t 
1644,Листья на деревьях меняют цвет,l i s t i n e d e p r i v i ʁ m i n e t s v i t 
1645,"Важнее найти причины, а не следствия",v a v r n e m aɪ t i p p r i tʃ i n ə a n s t ɪ n d e t f t v y ə 
1646,Самое сложное - начать двигаться в нужном направлении,s a m aɪ j i s l o ʒ o n aɪ n a tʃ e t d v i ŋ ɡ a ts e v n o ʒ n ʌ n ʌ p k r a v e l i n i 
1647,Наслаждение тишиной и покоем,n a s i l a v ʒ d e ɲ t i r f y n oɪ i p a k o i m 
1648,Сильный старт,s e l i l n i s t a k r y t 
1649,Нам нужно еще пару продуктов для ужина.,n a m n o z ʊ n ʌ j e ʃ ɑ p a k r o v k r a d o k t ʌ v d l e o ʒ ʊ n 
1650,Фирменное приложение,f i k r ʌ m n i n n aɪ p u k r i l a v r e n e j e 
1651,Пустые обещания хуже чем нет обещаний вовсе.,p o s t e e a n b e ʃ e n i x o ʒ e tʃ e m p n e t n b ʃ e n i v o m e 
1652,Как прошло твое интервью?,k a k p ɡ r a f l o t o v aɪ o i n t e k p r e v i j o 
1653,Одуванчиковое поле,a n d o v a n tʃ y k ʌ v a j e p o v i l d e 
1654,Будешь играть со мной в футбол?,v ɔ d e ʃ y ŋ k k r a t s ɛ m n ʌ k ʌ v f oː t ə b oː l l 
1655,"Родители приедут завтра, надо убрать квартиру",k r a d i t i l e p k r e e d o t z a v k r a n a n d a o b u k k r a d k o v a k r t i k r o 
1656,Солнечный день согревает и дарит свет,s a l ə n e tʃ n e n d e n s e ŋ ɡ k r e v aː ɪ n d ɛ k r i t s e v e t 
1657,Трепетный момент,t u k r e t e t ʌ n i m ʌ n e n t 
1658,Дикий пляж,d e k i p y l z a ʒ ʒ 
1659,Лучший способ предсказать будущее – создать его самому,l o t i s f o l s e p p k r e t s k a z a t b o d o s e s e z e t a t j e v o s a l m o m u 
1660,Без музыки жизнь скучна,v e z ʌ m o l z ʌ k i ʒ e z ɪ n s k o t n a 
1661,"Ты не представляешь, что мне случилось...",t d i l n e p k r i t s t a v ə l aɪ e x ʌ t ɔ m ə n i s l oː t i l ə s 
1662,Быстрый бегун,b oː s k r i x b i r ɡ oː l 
1663,"Живите здесь и сейчас, а не в прошлом или будущем.",ʒ ʌ v i d ɪ z ɪ d ɪ t ɪ s ɪ tʃ aɪ s a n n e m p ɡ r ɔ ʃ l a p e n l ɪ b oː n d o s j o n 
1664,Душ после пробежки,d o s s p o s l e p k k r a d e ʃ k i 
1665,Нам нужно подготовиться к экзамену,n a m n o ʒ o n a p a t k a t a v e ts a k y e k i z a m i n u 
1666,Сделаем будет лучшим способом узнать,æ n s i d i l aɪ m v oː n d ɪ t l oː t ʃ ɪ p s f oː s a m v ʌ p oː z ə n a t 
1667,Горячий чай,ɡ a ɡ r eː t ø t r aɪ 
1668,Температура выше обычной - есть ли кондеционер?,e m b e k r a t o k l a v o f e a v f n e j e s t i l e k a n d i ts e n e k r 
1669,Убедительный аргумент может изменить любое мнение,o m v e t i t i l n i a l k r o ŋ ɡ o m e n t m o v ʒ e t i z n i n i t l o b oɪ m u n e n e 
1670,Куда ты направляешься прямо сейчас?,q o d a t e n a p k ɡ r a v i l aː j e ʃ s e p k r a m a s i tʃ a s 
1671,Утренняя зарядка,o t p r i n e e z e k p r e n t k a 
1672,Легкий воздух,ɔ x ɡ eː v ɔ ð ə d oː x x 
1673,Кошка лежит на окне и мурлычет,k o f k a l i ʒ i t n aː k n e i m o k r i l i ʃ e t 
1674,Сладкий вкус,s ə l a t k i v k o θ 
1675,Морской бриз дул у побережья,a k s k oː b ʌ k p r i z n t o l u f a n ð e k r e ʒ j e 
1676,Прозрачный кристалл,p u k r a z k r a t n k k r i s t a l 
1677,В школе всегда проходит что-то интересное.,a v ʃ k o ʎ e u v s e ŋ k d a b k r e s x o d i p ʃ t o t a i n t e p r e s n e 
1678,Ты можешь подарить ей цветы от моего имени?,d e m o ʒ e ʃ p o d a k k r i t i ɡ e t ts e z e t e o p m j e v o e m i n i 
1679,Живописный закат,ʒ ʌ v a p e s n i y z ʌ k a t 
1680,Большой залог,v a t f ɔ uː z ɛ l oː ŋ k 
1681,Общение с интересными людьми,a v ʌ ʃ ʃ e n i e s i n t e k r e s n ʌ m l y t ʌ n i 
1682,Чувствую себя замечательно,tʃ o s t o v r o j o s e m b e u z e m e tʃ t e l n a 
1683,Я так рад видеть тебя!,i ɡ t a k k r a d v ɪ n d ɪ t t ɪ m p ø 
1684,Ночные города красивы в свете фонарей,tʃ i n e e ɡ a k k r a d a k k r a s e v e v v s v e t e f a l l a p r i 
1685,Тонкий лед,t o n k i l o d 
1686,Мой рюкзак становится тяжелее с каждым днем,m aɪ k p o k ʌ z ɛ k s t a n ɑ v i ts ə t e ʒ ə l e s k aː ʒ ʊ t ʌ p t u n n o m 
1687,Приятный запах кофе,p k r e a t ə n i z a p a x k o v f e 
1688,Кристальный водопад,k r i θ t a n i v a d d a f a n d 
1689,Быть может стоит вызвать такси?,v aɪ t i m ɑ ʒ ʌ t s t aɪ t v aɪ z ʌ v aɪ t t a k s i 
1690,"Весна пришла, и все оживает вокруг",ð e s n a p k l i f l a i f s e a ʒ ə v aɪ d v a k k r o ŋ 
1691,Крепкий чай,k r e p k i ʃ a l 
1692,Без записи можно посетить этого специалиста?,b i z z a p e s ts i m ɔ ʒ ə n a p ʌ s i t i t ɛ t a v a s p e ts i a l i s t a 
1693,Крепкий замок,k ʌ k r e v k ɡ e z a m m o k 
1694,Без ответов еще можно подумать,b i z a t ə v e t ʌ f j e ʃ m ɔ v ə n a p a n t o m i t 
1695,Темный переулок,t o m n e p e k r i l u k 
1696,Любовь - самое сильное чувство на свете,o v ɔ v ʒ s a m aɪ j e ts i l d e r n e tʃ o s t v a n e ts e v i t i 
1697,Приятный аромат,p k k r i ɡ a t ʌ n i ʌ k r ʌ m a t 
1698,Ничего особенного.,n i tʃ e v ɑ a s ɑ d i n n a v 
1699,Красочный закат на океане,ɡ r a s e ts n e v e k a n a a k e ɲ i 
1700,Сделать то что скажешь - лучший способ уважаться,s e n d i l e t t o ʃ t o ɡ a ʒ e ʃ l o ʃ i s p o l s a p o v a ʒ a ts a 
1701,Старый друг,t a k r i x d ə t r o ŋ k 
1702,Быстрый спринт,b oː θ p r i θ p p r i n t 
1703,Черный кошмар,f a k r ʌ n i k a f m a l k r ʊ 
1704,Свежая роса за окном,e z e ʒ a k r ʌ s a n z a h a k ʌ n o m 
1705,Черный кофе на завтрак,tʃ a k t r n e k o l f i n e z a v k r a k 
1706,Вентелятор с подсветкой,v e n t i l l a t a k r s p a d s v e t k a ç 
1707,Лучше простыть чем перепутать содержимое двух конвертов,l o t ʃ e p k r a s t i t tʃ p e k e p o r t ə t s e d e k ʒ e l m a e d ə v o x k a n k ʌ n v e k s t a v 
1708,Кристальный ключ,k k r i s t a l n i k l o t 
1709,Зарегистрируйтесь на сайте для получения дополнительной информации.,i z e k r i ɡ i ts k r e k o t i s n a s aɪ t i d l a p o l o tʃ e n i d a v o l n e n t e l n e i n f o k r y m m a ts i 
1710,Тихая гавань,i x aː j ŋ ɡ aː v n 
1711,Будем ли мы работать сверхурочно в этом месяце?,b ɔ d e m l e m y k r a m v o t ə t s i e k x o k r o tʃ n a v t ə m n e s e ts e 
1712,Блестящий кристалл,v y l d e s t e f i k k r i s t a 
1713,Свежий запах,s e v eː l v z a t r a x x 
1714,Деревья шумят от ветра,k r e v i j a f o t o t u v e t k r a 
1715,Зайти за продуктами после работы,z aɪ t i z a p k r a d o k t a ŋ i p ɔ θ n d e k r a m v o t e 
1716,Хочешь пойти со мной в кино?,x o l t ɹ e f p aɪ x t i θ a m n oɪ o v k e n o 
1717,Холодный ветер в горах,h a l o d u n e v e t e k k r v o ŋ k a k k r a x 
1718,Свежий морской бриз,v e ʒ r i m ʌ k s k ɑ b ʌ k r i z 
1719,Это было неожиданное переживание и для меня!,e t a v ʌ l ʌ n aː ʒ d ʌ n aɪ p e k r e ʒ u v a n i i d l a m i n a 
1720,Можешь притащить еду?,m o v e f p k r i t e ʃ i t j e n t o 
1721,Главное - не паниковать!,ɡ ʌ l ɑ v ʌ n j n i p ɲ i k a v ʌ t 
1722,"Довольствуйтесь тем, что у вас есть",d ɛ v ɔ l s t e v oː t i θ t e p ʃ t o o v ɑ θ s j e t 
1723,Все сказанное было ложью,ɕ e ʃ k a z e n aɪ b i l o l o dʒ y j 
1724,Чем тебе бы хотелось заняться вечером?,k e m t i m v i b o x a t e l e s z e n a a e tʃ e k p l o 
1725,Зеленый лес полон жизни и шума,z e l ɔ n i l e s p ɔ l a n ʒ ø z ə n i i ʃ u m a 
1726,"Секс сам по себе для меня не так важен, как эмоциональное понимание",ə s e k s e m p a s i m b e d l e m i n a n e t a k v a ʒ ə n k a k e n m a ts o n a l n aɪ p a n i m a n i e 
1727,Есть ли у вас что-нибудь поинтереснее?,j eː s t i e o v aɪ θ t o n b u d b aɪ i n t e k i s n e 
1728,Кристально чистая вода в реке манит купаться,k k r i s t a l n a tʃ i s t a j v a d a v k r i k e m a n i t k o p a l ts a 
1729,Выпить стакан воды утром,v oː p i t t a k a v a n d e o t k r a 
1730,Глубокий взгляд глаз,ɡ ʌ l ʌ v o k i v z e n ɡ ʌ l a d ɡ l a z 
1731,У меня сегодня просто ужасный день!,o m m i ɲ a e v o d ə n e p o t r o s t a u r r a s n i n d e n 
1732,"Для успешного бизнеса нужно больше, чем просто хорошая идея",d e l ɛ o s f e ʃ ə n a v a b i z ə n e s ɛ n ɔ ʒ ʊ n a b o l ʃ ə tʃ y m p k r ɔ s t a x a k r o ʃ a j a ɪ n d eː ə 
1733,Выхожу на улицу - а там лежит снег!,v o x a ʒ o n a o l e ts o a d a m d e ʒ y t s e n i ŋ k 
1734,Моя посылка уже доставлена или ещё нет?,m aɪ a p a s i l k a u n ʒ e n d a s t a v ə l e n a i n l i j i tʃ o n e t 
1735,Ласковый май,l a s k a v oː m aː ɬ 
1736,Сегодня такой прекрасный день!,s e v o d n e n t a k o p k r e k k l a s e n i d e n 
1737,Летим в отпуск на Гавайи,l e t i m v o t f o s k n a ŋ ɡ a v a 
1738,Тихий океан,d ɨ x ɨ ʌ k ɨ ɔ ð 
1739,Горький шоколад,ɡ o k k i ʃ a q a n l a n t 
1740,Легкий ветерок,j ɔ x ɡ eː v e t e k r o k 
1741,Можно я подойду немного поближе?,m ɔ z u n a j a p a d e ɡ o n e m n o ŋ ɡ a p a b l e ʒ e 
1742,На самом ли деле я выбрал правильный путь?,n a s a m ə m d ə d e l ə e v e l b u k ɔ p k v i n i p oː t 
1743,Можешь прислать мне фотки?,m oː ʒ y f p k r i s e l aɪ t m o ɲ e f o t k i v 
1744,Нужна помощь со связью,n o ʒ u d n ɑ p o m ʌ ʃ s e s e v e d j u 
1745,Путешествия помогают расширять кругозор,d e f e s t z e p a m a ŋ ɡ a t k a s f e k r e t k k r o ŋ ɡ a z d o k r 
1746,Я отложил это до завтра,ʎ aː t o l a ʒ y l r e t a d a z ð a v k r a 
1747,Легкий бриз,l o x k i b ə k k r i z 
1748,Густой забор,ɡ o s s t o z a b o k r 
1749,Следующий год будет лучше этого - я уверен,s e l e d o s i ŋ ɡ o t v o l t e t l o k f e e t a v a j a o v e k p r i n 
1750,Его семья переехала в другой штат в прошлом году,j e v ɑ θ e m i e p e k r e x a l o v u n k r o ɡ ɔ ʃ f t a t v p k r o ʃ l a p ɡ a d u 
1751,Важно быть благодарным за то что имеешь,z aː ʒ y n a m b e t b l a ɡ a d a k k r n y i z a t o ʃ t o i m e e ʃ 
1752,Хлеб со вкуснейшим джемом,l e b e s e v k o s i n e ʃ ə n t ʒ ɛ m a 
1753,Яркий краситель,a r ɡ eː k ɡ r ɛ θ s ɨ t ø ɬ 
1754,В этой комнате летом жарко.,u z aɪ t aɪ k o m n e t e l e t ə m p ʒ a k k a 
1755,Огненно-красный закат,ɔ ɡ ə n ʌ n n a ŋ k k r a s ə n ɪ z a k a t 
1756,Мягкая кровать,n e x ɡ aɪ k ɡ r a v a t 
1757,На какие вопросы нужно отвечать на интервью?,n a k a k e e v a v ɡ r o s ə n o ʒ o n a a l t v e tʃ aɪ t n a i n t e k r i v i j o 
1758,Как долго займет эта работа?,k a k i d o l ɡ a z aɪ m o t e t a k r a m v o r t a 
1759,Я устал и хочу лечь спать.,ʒ ɛ u t t a t i x ɛ t f oː d ɪ t ʃ k p a t 
1760,Кофе с ароматом корицы,k o f i s a ɡ r a m a n t ə l p k a k r i t ts ə s 
1761,Шум дождя на крыше дома,f o m d e ʒ i d e n e k k r i ʃ e d o m a 
1762,Огонь разгорается в камине,k o n k r e z k a k r aɪ e ts u n f k a m y n i 
1763,Строгий режим,s k r ɔ ɡ i p r e ʒ 
1764,Готов попробовать это блюдо.,ɡ a t o f p a p k r o b a v aɪ t e t a m b ə l oː n t a 
1765,Безопасность на дорогах,v e z a p a s e n e s t n e n d a k r o ŋ ɡ a x 
1766,Голый пистолет,ŋ ɡ ɔ l aɪ t i s t ɛ n d ɪ t 
1767,Космос не перестает нас удивлять,q o s ʌ m a s n e p e k k r i s t aɪ o t n a s u n d i v y l e t 
1768,Осенние листья шуршат под ногами,a s e n i l i ts t i ʃ u k s a t p a t e n a n ɡ a v i 
1769,Это занятие хорошо подходит для детей,ɛ t ʌ z v e n e t i x ʌ ɡ r ɑ ʃ ɔ p d x ɔ d ə t d ə l ɛ l d ɪ t e ʃ 
1770,"Не стесняйтесь быть уязвимыми, это – признак силы",n e s t e s ɪ n aɪ t ɪ s b ʌ t o e z v e m u n y e t ɛ p k r e z n ʌ k s y m y 
1771,Мощный порыв,m ɔ s ʌ n i p ʌ k r y v 
1772,Сумерки на озере в лесу,o n e t k i n aː a z e k k r e v e l e s v u 
1773,Пение птиц на рассвете,n e o p t e ts n a k r e s s v e t e 
1774,Темная тень,t ɔ m n a j t i n 
1775,Зарядить свой телефон,z a k r e d i t s ə v ɔ t e l e f ɔ n 
1776,Вода в озере прозрачная и чистая,v o d a v o l z e p i k k r a ts k r a ʃ e n aɪ i i s t a h i 
1777,Прочти классическую литературу - это полезно для ума.,k a tʃ t i l o ts i tʃ e s k o j o l e t e k r a t o k r o e t a p a l d e z e n a d i l a o m a 
1778,Приятно провести время вместе.,p k r i a t ə n a p k r a v i s t i v u k e n e v o m e s t e 
1779,Это очень мило с вашей стороны.,e t ʌ t ɪ n m i l e s v a l f i s s t a k r a n i 
1780,Хочешь выпить чашку кофе?,x ɔ l tʃ e ʃ ə v y l p i t tʃ a ʃ k o q o f e 
1781,Умейте слушаться внутренний голос перед принятием решений,o m e t e s l o ʃ o ts e n v n o p r i n i ɡ o l e s p e k k p i p p p r i n e t i p k r i ʃ e ɲ i 
1782,Шумный городской транспорт,ʃ o m n i ɡ a k r e t s k aɪ t k r a n s p a t 
1783,Запах свежей выпечки,z aː p a x s e v e r r e k u v e p i tʃ k e 
1784,Яркий цвет привлекает внимание,a k r k eː t ts v i p p k r i v l i k aɪ t v n i m ʌ n i 
1785,Я обязательно пришлю инструкции по электронной почте,ɡ a v i z a t i l n f k r i f d o i n s k r o k t eː p o e d e k k r o n n aɪ p o l ʃ t e 
1786,Где парковка для инвалидов?,ɡ d e p a k t k o f k a v i l a i n v a l i d o 
1787,Открытие новых горизонтов,a t k k r i t eː n oː v ʌ x ɡ ʌ k r ɪ z oː n t ʌ v 
1788,Нужно заказать билеты,n o ʒ o n a e z e t k a z t u b i l d e t e 
1789,Золотая середина,z a l a t a j a s e k p r e d i n a 
1790,Первый снег зимой,t e k r v e s n e ŋ k z i m o 
1791,"Сегодня у меня день рождения, приходите завтра!",s e v o d y n o m m e ɲ a d e k r e ʒ i d e n i p k r i x a d e t e z a v k l a 
1792,Никогда не останавливайтесь на достигнутом.,ɲ e ŋ k a ɡ d a n e a s t a n a v l e v aɪ t i s n a d e s t i ŋ ɡ ə n u t a m 
1793,Хороший отдых - залог продуктивной работы,k l a ʃ i oː t t ʌ x z e l o ɡ p k r e d o k t i v ʌ n aɪ k r a m v o t e 
1794,Яркая реклама на табло,j e r k k aɪ j k r i k o l a m n a t a m b o l o 
1795,"Нам следует идти пешком, чтобы не пропустить все достопримечательности",n a m s e l e b oɪ t i p t i p e ʃ k o m ʃ t o m v o n e p k r o p o s t i k u m ts e d a s p e f ɡ r i m ɪ tʃ e t ɪ l n y s t e 
1796,Бормотать что-то про себя,b a k r y m m a t a t f t o t a p o p r o s e n v e 
1797,Чистая река,eː θ t aɪ k r ɛ k a l 
1798,Большая книга на полке,a l ʃ aː j e k i ɲ i ŋ k a n a p o ð k e 
1799,"Вы можете передать мне этот блокнот, пожалуйста?",v e m o l v e t i p e k r e n d e t m y n e e t e t b o l a k n o t p a l r a l u s s t a 
1800,Попробуй этот торт,p ɑ p k r o m b o e t e t t o k r y t 
1801,Он часто путешествует из-за работы,o n dʒ e s t a p a t e f e s t o v oː i t i z z a k r a v o l t i 
1802,Оставил зарядку дома,a s t a v e l z a k r e t k o u n t o m a 
1803,Почему никто не откликается?,p a l tʃ e m o ɲ i k t o n e a t k l i k aɪ ts e 
1804,Без тебя скучно.,b e s t e v e s k o tʃ n 
1805,Белый цвет,d eː l i θ i v ɪ t 
1806,"Действуйте, чтобы изменить вашу жизнь",dʒ eɪ s t ʌ v aɪ t i ʃ t ɑ m b ʌ i z ɪ n n i n i t v a ʃ o ʒ ø z ə n 
1807,"Завтра нужно встать раньше, чем обычно.",z a v k r a n o ʒ n a v s t a d ɡ r a n ʃ e tʃ e m a b aɪ ʃ y n a 
1808,Музыкальный концерт вживую,m o z i r k a l n e k a n ts e k r i t v ʒ e v o o 
1809,Строгий наставник,ɡ r a ɡ i n e s t e v ə n i k 
1810,Как дела у твоих детей?,q a k ə d i l a o t o v h aɪ j i x n d e t e ɬ 
1811,Звук морских волн на побережье,e z a v o k m a k s k i x v o l n a p ʌ n v e k r e r ʒ j e 
1812,Летний дождик,ɟ e t[ e n i d o ʒ ɯ d i k 
1813,Ошибки-это первый шаг к мастерству,a l ʃ y b k e ɛ t ɛ t e k r v aɪ f a ɡ k ʌ m ɛ s t e k s s t v o 
1814,Холодный ветер пронизывает до костей,h a l a d ʌ n v e t e p r p k r a i z e v aɪ d o k a s t i 
1815,Новый год с близкими и родными,n ɔ v ʌ ŋ k o d s m b ʌ l e z k e m i i k k r e n d e n uː m i 
1816,"Кажется, я заблудился...",k a ʒ ø r ts e ɪ n z e b l o l d i l s a 
1817,Я с нетерпением жду завтрашнего дня,j e s s n i t e k p e n i p ʒ u d o z a v k r e ʃ n i r a n t e n 
1818,Безмятежный отдых,i z e m e t e ʒ u z n aɪ o t ə n d ʌ 
1819,Темный тоннель,n i ɡ t a n i l 
1820,Красивые цветы украшают сад,k k l a s i v aɪ t e v e t e o k k r a ʃ aɪ o t s a b 
1821,Серый дождь,e p r e d ɔ ʒ ʊ d 
1822,Широкая собака,k r o k a s a m b ɔ k a 
1823,Жаркое лето вызывает жажду,ʒ a k k aɪ j e n l e t e v ʌ z e v r aɪ t ʒ a ʒ o n d o 
1824,Большой выбор,l f aɪ v ʉ b ʌ k r 
1825,Такси будет через пять минут,ɪ n ɡ e t a k s ts j o b o l d ɪ t tʃ e k r s p l e t m i n n o t 
1826,"Будьте благодарны за все, что у вас есть.",m v ɔ l t t i m b l a ɡ a d a k r n z a s j a t o oː v a θ i e s t 
