,text,IPA
733,Ездить по ушам гвоздями по доске.,ʎ e z i d i t p ɔ oː ʃ a l ɡ ə v aɪ z ə d a l m i f ɔ n d ʌ s k i
734,Говорить и думать - не одно и то же,ɡ a l a k r i t i d o m aɪ t ɲ e a d u n o i t ʒ e
735,Писать страшилки может быть страшнее чтения,d iː s aɪ t s t r a f e l k i m ɔ ʒ e t v uː t s r a ʃ n e tʃ t e n e e
736,Путь наш лежит за горизонт,p oː t i n aɪ ʃ ɪ l l e ʒ y p ð a ŋ ɡ ʌ k r i z o n
737,Мыло очищает организм внешний,m y l a ʌ tʃ i ʃ aɪ j i t a ŋ k t r ɡ a n i z y m v ʌ n i e ʃ n i x
738,Тюрьма разума есть шаблонное мышление,t i o k r i m a k r r a z o m a i e s t ʃ a v l o n n aɪ m y f ə d e n i i
739,"Оппозиция мнений нужна в науке, дабы найти истину.",a p a z i ts e e m ɲ e n i n o ʒ o n a v o n a o k e d a b o n e j t i i s t i n u
740,"Мышь пищит в вентиляции, пугая местных поваров",m e ʃ p i ʃ i t u v v e n t i l d a ts e p o ŋ ɡ aɪ e m e s n o x p a v a k r o v
741,"Птица летела на восток, согреваемая утренним солнцем.",t i ts e l i t i l a n a v a s k o q s e ŋ k k r e v aɪ m aɪ o t k r i n i s o n e m
742,"Рыбалка веселее, если с тобой есть кот.",k r i v a l k v e s e l e e s ə n l e s k a m b oː n e s t q o l t
743,Река несёт в далекие края...,k r e k a ɲ i s o t v d a ʎ o k i k a k k r a e
744,Высокая гора возвышалась в небеса.,v ʌ s o k ʌ j a ɡ a k k l a u v ʌ z ɪ v ʌ ʃ ɛ l ʌ s ʌ v n e m b e s a
745,Озеро было наполнено разного сорта рыбой,ɑ z e k r a v u l a n a p o l ɲ i n n a k r a z i n v a s o k s t a k r e m v a
746,Яма была глубокой,i k i aː n m a b o l a ɡ l o b o k aɪ ʃ
747,Овраг наполнился дождевой водой,a v v o k k r a ɡ n a v ɔ l ɲ i l x s e d a ʒ y t e v oː θ ʊ n v a n t oː
748,Президент это сыр,p p r e z i d e n t e t a s s y ɡ k r
749,Глубокий бассейн может напугать некоторых людей,k l o v ɑ k i b aɪ s e n m a ʒ t n a x v o ŋ ɡ aɪ t ɲ e k t ʌ k l y x l dʒ e
750,Кнопка выключения света в гараже,k ʌ n ɔ p k a v ʌ k l tʃ e ɲ i e t s e v e t a ʌ v ɡ a k k r o ʒ e
751,Картина человека с отслеживающими глазами.,k a k t i n a tʃ e l a v e k a s a t s t e l d e ʒ o v a j o ʃ e m i ɡ l a z a m i
752,Свет солнца согревает раненую кицунэ ,r e t s o n ts a s a ɡ ɡ r e v aɪ k a n e n oɪ t i ts u n
753,Начало фильма весьма интересное ,a tʃ a l a f i l i m a v r i s m a i n t e k r i s n aɪ
754,Конец пути ,ɡ aɪ n e ts f o t
755,Деньги это власть ,j e ɲ ɡ i ɛ t ɛ v o l a t
756,Дерево не может быть мудрым ,i d e k k r i v a n e m o ʒ ʌ t v oː t m o n t k k r y
757,Учитель труда,o tʃ i t e t t r o d a f
758,Котята не умеют плавать ,k a t a t a n e m e j o t p o l a v o tʃ
759,Огненная лисичка - мой любимый браузер.,ɑ ɡ ɡ i l ɲ i n n e j a l e s i k ʃ k a m a k l v e m i v o k k r a z e k r
